TID,y,x1,x2,x3,x4,x5,x6,k
345,72,0.693462402,1,1,0.794949495,0,0,4323
346,8,0.757575758,1,0,0.924242424,0,0,3446
347,7,0.755411255,1,0,0.848484848,0,0,3404
348,20,0.755555556,1,0,0.848484848,0,0,3535
349,7,0.757575758,1,0,0.848484848,0,0,3787
350,12,0.755892256,1,0,0.848484848,0,0,3814
351,1,0.898989899,1,0,0.828282828,0,0,4136
352,3,0.898989899,0,0,0.83030303,0,0,3426
353,1,0.898989899,0,0,0.842873176,0,0,3505
354,1,1,0,0,0.843434343,0,0,3835
355,0,1,0,0,0.839105339,0,0,3335
356,0,1,0,0,0.691366793,1,1,3697
357,0,1,0,0,0.843097643,1,0,4191
358,0,1,0,0,0.848484848,1,0,3266
359,2,0.984848485,0,0,0.848484848,1,0,3262
360,0,1,0,0,0.898989899,0,0,3106
361,0,1,0,0,0.89005439,0,0,3077
