年,月,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
year,month,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47
2017,5,2795280,447380,510900,826470,323360,411450,848340,483820,891060,724840,385800,2006800,5081800,1680820,784650,372990,792640,286170,668580,1482930,540020,1627040,1398380,722210,448430,1740290,2702090,1141090,286190,423830,257350,304000,538870,862240,411180,215200,330720,423890,258370,1426130,258780,725650,725610,656120,355180,735300,1682420
2017,6,3022820,391210,480300,807740,313790,434880,860770,412800,749540,620250,340180,1878340,4693200,1530960,726320,297280,649770,233070,523880,1096010,413360,1364280,1288840,559700,354660,1473590,2665060,959000,209160,323530,204160,239130,452920,756950,336600,177860,264260,325670,195260,1308410,214560,533900,579610,501470,265590,560250,1738960
2017,7,3660520,425050,528470,909670,299230,511390,989350,508300,963090,763560,399470,2240950,5208780,1925440,912870,337510,711500,323860,902600,1813230,536350,1885550,1541470,715820,419840,1600140,2892220,1230780,235830,458630,267280,265900,500090,828180,355610,205480,326390,372070,236080,1511010,263390,640890,638370,567880,345470,660420,2051270
2017,8,3976140,526830,680780,1107960,388580,607870,1209350,646780,1308030,1119070,487340,2702600,5382710,2428590,1332160,487100,948610,500360,1346190,2734290,761070,2729970,1799530,983800,593280,1851990,3134540,1574610,329590,663360,372400,343960,623590,1005960,506980,280170,442820,485350,331310,1696300,300380,866260,837540,742920,454180,820840,2343680
2017,9,3278760,441320,549980,841730,338480,459410,924190,428610,858180,756740,366350,1968610,4761400,1730120,789980,362270,680320,298720,685650,1548240,503940,1653990,1428140,616850,369710,1541330,2687040,1073200,215400,377680,234160,271050,472050,829000,357650,179500,306780,397870,220840,1429610,239290,563830,633240,558300,317140,624660,1990650
2017,10,3081160,470630,576700,848430,363700,463160,971190,441670,891240,753050,379790,2031490,5158910,1791060,869640,394140,804840,288000,634620,1499630,533150,1617910,1444770,679750,372950,1664910,2919700,1124020,220830,376200,260330,290970,503270,849940,395910,201750,337260,475630,232330,1439790,244980,664980,670310,607130,368660,669320,1944360
2017,11,2334600,361910,497050,803250,255730,397130,895400,442110,885730,695260,385060,1977040,4969340,1784720,735680,336560,805040,324650,653660,1160190,505080,1752190,1447430,730530,412480,1740070,2826730,1163370,232370,417900,286090,306350,512700,852500,390980,201230,350620,441720,246080,1456980,247200,690110,696630,686360,382350,701320,1732420
2017,12,2790820,317360,460450,766170,217250,378150,790110,455420,739060,676590,388760,2054030,5197670,1768040,743510,265580,632800,280040,535490,1268470,454830,1704290,1402830,668450,343490,1545240,2724830,1129810,159490,345010,228590,235600,448970,714620,335770,160390,269360,345090,183790,1461820,242580,621970,597750,608140,347260,612200,1593250
2018,1,3017390,338500,467650,713960,207170,374670,821250,394690,600860,626210,375550,1787990,4599590,1589940,816340,229760,581440,249600,468450,1556880,514260,1619930,1254880,649650,258930,1293740,2718390,991780,142880,336850,208280,187860,366630,640380,284200,126580,258480,289040,180900,1267190,210760,521540,554350,584220,300250,611770,1772820
2018,2,3084420,332990,454750,735370,208620,406510,815140,406670,592250,587910,360460,1745850,4750940,1595980,885850,239890,608920,238260,495630,1528840,541830,1541090,1285170,620250,266320,1344730,2861030,999260,147770,343150,233370,194520,370830,651740,294970,138820,285020,311550,197780,1325900,213110,524910,560300,596400,370170,672230,1932180
2018,3,2740050,356310,461860,879740,228430,429140,890990,508870,809880,694950,436840,2290360,5648390,2022060,834620,267960,807470,322200,635760,1332680,543300,1995900,1472930,781150,369230,1739290,3331480,1213450,213430,487290,262060,267220,478800,844800,389150,207850,375910,393340,267720,1477490,250080,722040,702570,753630,376440,760320,2369460
